bedrooms,RegionID,SizeRank,RegionName,RegionType,State,City,CountyName,date,median value
2,70791,302,30004,Zip,GA,Milton,Fulton County,1/31/2010,147891
3,70791,302,30004,Zip,GA,Milton,Fulton County,1/31/2010,205485
4,70791,302,30004,Zip,GA,Milton,Fulton County,1/31/2010,347022
5,70791,302,30004,Zip,GA,Milton,Fulton County,1/31/2010,557859
2,70792,2978,30005,Zip,GA,Alpharetta,Fulton County,1/31/2010,144343
3,70792,2978,30005,Zip,GA,Alpharetta,Fulton County,1/31/2010,239814
4,70792,2978,30005,Zip,GA,Alpharetta,Fulton County,1/31/2010,320763
5,70792,2978,30005,Zip,GA,Alpharetta,Fulton County,1/31/2010,419598
2,70796,5968,30009,Zip,GA,Alpharetta,Fulton County,1/31/2010,147696
3,70796,5968,30009,Zip,GA,Alpharetta,Fulton County,1/31/2010,243844
4,70796,5968,30009,Zip,GA,Alpharetta,Fulton County,1/31/2010,330533
5,70796,5968,30009,Zip,GA,Alpharetta,Fulton County,1/31/2010,543216
1,70808,301,30022,Zip,GA,Johns Creek,Fulton County,1/31/2010,132172
2,70808,301,30022,Zip,GA,Johns Creek,Fulton County,1/31/2010,156080
3,70808,301,30022,Zip,GA,Johns Creek,Fulton County,1/31/2010,206507
4,70808,301,30022,Zip,GA,Johns Creek,Fulton County,1/31/2010,318232
5,70808,301,30022,Zip,GA,Johns Creek,Fulton County,1/31/2010,506647
1,70854,602,30075,Zip,GA,Roswell,Fulton County,1/31/2010,129174
2,70854,602,30075,Zip,GA,Roswell,Fulton County,1/31/2010,181148
3,70854,602,30075,Zip,GA,Roswell,Fulton County,1/31/2010,247050
4,70854,602,30075,Zip,GA,Roswell,Fulton County,1/31/2010,324786
5,70854,602,30075,Zip,GA,Roswell,Fulton County,1/31/2010,472600
2,70855,1284,30076,Zip,GA,Roswell,Fulton County,1/31/2010,134768
3,70855,1284,30076,Zip,GA,Roswell,Fulton County,1/31/2010,219309
4,70855,1284,30076,Zip,GA,Roswell,Fulton County,1/31/2010,301139
5,70855,1284,30076,Zip,GA,Roswell,Fulton County,1/31/2010,435845
2,70959,1912,30213,Zip,GA,Fairburn,Fulton County,1/31/2010,77639
3,70959,1912,30213,Zip,GA,Fairburn,Fulton County,1/31/2010,106059
4,70959,1912,30213,Zip,GA,Fairburn,Fulton County,1/31/2010,146717
5,70959,1912,30213,Zip,GA,Fairburn,Fulton County,1/31/2010,216899
2,70995,9177,30268,Zip,GA,Palmetto,Fulton County,1/31/2010,72540
3,70995,9177,30268,Zip,GA,Palmetto,Fulton County,1/31/2010,102383
4,70995,9177,30268,Zip,GA,Palmetto,Fulton County,1/31/2010,178699
5,70995,9177,30268,Zip,GA,Palmetto,Fulton County,1/31/2010,248076
3,71013,5112,30291,Zip,GA,Union City,Fulton County,1/31/2010,82045
4,71013,5112,30291,Zip,GA,Union City,Fulton County,1/31/2010,115492
5,71013,5112,30291,Zip,GA,Union City,Fulton County,1/31/2010,141532
2,71023,16830,30303,Zip,GA,Atlanta,Fulton County,1/31/2010,195349
3,71023,16830,30303,Zip,GA,Atlanta,Fulton County,1/31/2010,206183
1,71025,1929,30305,Zip,GA,Atlanta,Fulton County,1/31/2010,144949
2,71025,1929,30305,Zip,GA,Atlanta,Fulton County,1/31/2010,249698
3,71025,1929,30305,Zip,GA,Atlanta,Fulton County,1/31/2010,520593
