  Parcel Number ,  Bedrooms ,  Appraised Value ,  Sales Price ,  Sales Date ,  Baths (Full) ,  Year Built (Res) 
14 001600270184,1,180900,1,8/7/2020,1,2000
12 242606160177,1,122600,165000,8/3/2020,1,1984
17 0099 LL1658,1,324100,248450,7/30/2020,1,2006
17 004800030872,1,272500,315000,7/28/2020,2,2006
17 007100092310,1,125000,114000,7/28/2020,1,1986
14 005000150995,1,231800,243500,7/28/2020,1,1974
17 009500080242,1,134400,104000,7/28/2020,2,1965
17 007100092237,1,125000,108600,7/28/2020,1,1986
14 004600061967,1,238400,235000,7/28/2020,1,2007
14 008000031462,1,275500,258000,7/27/2020,1,2002
14 022000060272,1,101200,0,7/27/2020,1,1960
17 005500061208,1,262000,286000,7/24/2020,1,2004
17 009900072781,1,249800,275000,7/24/2020,1,2004
14 004900081764,1,156200,200000,7/24/2020,1,1965
14 004900342885,1,190400,188800,7/24/2020,1,1927
14 001600041130,1,189600,240000,7/24/2020,1,1910
17 010000041767,1,428000,442000,7/24/2020,2,2007
14 0108 LL2389,1,102600,117000,7/24/2020,1,2007
17 010600068889,1,174700,245000,7/24/2020,1,1923
14 008700020815,1,55600,0,7/24/2020,1,1920
17 018600013888,1,76000,104500,7/24/2020,1,1971
17 010800082599,1,145600,161800,7/24/2020,1,1989
17 004500011255,1,250100,258000,7/23/2020,1,2006
14 005500141437,1,190900,198000,7/23/2020,1,2006
14F0046 LL0127,1,130000,0,7/23/2020,1,1935
17 000800101028,1,160600,157500,7/22/2020,1,1980
17 010800012950,1,238700,241710,7/22/2020,1,2005
14 005000150433,1,190600,0,7/22/2020,1,1974
14 005000150433,1,190600,0,7/22/2020,1,1974
17 0148 LL0776,1,165200,161000,7/22/2020,1,2004
14 004100070153,1,142300,0,7/22/2020,1,1948
17 0062 LL1891,1,297100,285000,7/21/2020,1,2004
17 0148 LL0966,1,150400,0,7/21/2020,1,2004
17 010600310612,1,228900,0,7/21/2020,1,1996
17 010600068830,1,137700,137000,7/21/2020,1,1923
14 004900012645,1,362100,365000,7/21/2020,1,2005
17 0062 LL6577,1,244000,267000,7/21/2020,1,2005
14 004900330013,1,358000,455000,7/21/2020,1,2000
17 010700064465,1,284000,280000,7/21/2020,1,2006
17 0006 LL2997,1,164000,162500,7/21/2020,1,1988
14 001600120280,1,247400,233000,7/20/2020,1,1925
12 248006891063,1,306200,319900,7/20/2020,1,2019
17 0148 LL0966,1,150400,190000,7/20/2020,1,2004
14 007900135217,1,231700,240000,7/20/2020,1,2007
17 009800170115,1,132000,135000,7/20/2020,1,1963
14 008500020585,1,270100,0,7/20/2020,1,1997
14F0077 LL0764,1,102900,10,7/18/2020,1,1959
14 001800130337,1,402700,1350000,7/17/2020,2,2000
17 0102 LL2065,1,0,692096,7/17/2020,1,2019
14 011000082709,1,89000,75000,7/17/2020,1,2007
17 010600083375,1,250900,225000,7/17/2020,1,2003
14 013700030475,1,147300,362000,7/17/2020,1,1930
14 008500150143,1,226800,253000,7/17/2020,1,1940
17 0167 LL0285,1,3750000,4240000,7/17/2020,1,2015
14 004900310148,1,390000,293000,7/17/2020,2,1961
17 0148 LL4877,1,195500,192000,7/17/2020,1,2006
17 000600012946,1,151900,0,7/17/2020,1,1994
17 000600012946,1,151900,150000,7/17/2020,1,1994
14 004900260020,1,219200,269000,7/17/2020,1,1970
14 001600270200,1,169700,172000,7/17/2020,1,2000
17 010800083019,1,145600,154900,7/16/2020,1,1989
17 0102 LL1984,1,0,663904,7/16/2020,1,2019
14 001900101741,1,301800,390000,7/16/2020,1,1925
17 0062 LL5587,1,279300,260000,7/16/2020,1,2005
17 010600341229,1,240200,274000,7/15/2020,1,2005
17 019400051409,1,148200,177000,7/15/2020,1,1968
17 011100140228,1,179000,199999,7/15/2020,1,1938
17 009900073359,1,249800,0,7/15/2020,1,2004
14 007800122083,1,237900,0,7/15/2020,1,1913
14 001600041072,1,182400,230000,7/15/2020,1,1910
14 008400041616,1,207500,202000,7/15/2020,1,2008
17 018600014316,1,136100,141000,7/15/2020,1,1970
17 010800085022,1,158500,243500,7/15/2020,1,1989
17 004800030609,1,214700,182500,7/15/2020,1,2006
17 000100110349,1,219400,221500,7/15/2020,1,1920
17 000900042874,1,234800,240000,7/15/2020,1,1990
14 004900025613,1,385900,455000,7/13/2020,1,2008
17 0006 LL3433,1,164000,150000,7/13/2020,1,1988
17 023300010036,1,2075000,2995000,7/13/2020,1,2000
17 010700063095,1,284000,280000,7/13/2020,1,2006
14 001900050898,1,368100,405000,7/13/2020,1,2004
17 022300050158,1,316000,0,7/13/2020,1,1920
17 022300050158,1,316000,270000,7/13/2020,1,1920
14 004900012066,1,275100,344500,7/13/2020,1,1951
14 004600062353,1,238400,244000,7/13/2020,1,2007
14 004800350038,1,143300,170000,7/10/2020,1,1940
14 001900102087,1,293500,335000,7/10/2020,1,1925
14 0019 LL1777,1,326700,310000,7/10/2020,1,2007
14 007800142164,1,142500,152726,7/10/2020,1,1962
17 006100091702,1,246300,239000,7/10/2020,1,2004
17 000100160062,1,234700,260000,7/10/2020,1,1930
17 022600030140,1,114300,69065,7/10/2020,1,1940
17 0035 LL1754,1,133900,152000,7/10/2020,1,1989
17 009700011997,1,152000,171000,7/10/2020,1,1989
17 000900031406,1,265000,1,7/10/2020,1,2008
17 006200021443,1,259500,250000,7/10/2020,1,1997
17 010600350709,1,326000,350000,7/9/2020,1,2008
14 024300030492,1,104600,24500,7/9/2020,1,1940
17 006200022433,1,240300,100,7/9/2020,1,1997
14 008900010095,1,200100,0,7/9/2020,1,1900
14 008900010095,1,200100,220000,7/9/2020,1,1900
14 008900010095,1,200100,0,7/9/2020,1,1900
17 010600151073,1,245000,250000,7/9/2020,1,1972
12 202504210680,1,122700,137000,7/9/2020,1,1979
17 010600085495,1,871600,750000,7/9/2020,1,2003
17 018600012559,1,103500,115500,7/8/2020,1,1971
14 004800330105,1,166400,181000,7/8/2020,1,1961
17 0236 LL1686,1,145500,160000,7/8/2020,1,1991
17 0148 LL3564,1,184300,187000,7/8/2020,1,2005
14 001400091434,1,653300,1235000,7/7/2020,1,2019
14 001400081336,1,203800,225000,7/7/2020,1,1957
17 010600065265,1,250300,250000,7/7/2020,1,1999
14 004900330492,1,353800,370000,7/7/2020,1,2000
17 0148 LL7060,1,184700,195000,7/7/2020,1,2007
14F006400010049,1,180900,120000,7/7/2020,1,1950
17 011000140153,1,233400,241500,7/7/2020,1,1920
14 001900101857,1,307600,10,7/7/2020,1,1925
17 005600130499,1,1223500,1301500,7/7/2020,1,1945
13 009300020488,1,18500,10000,7/7/2020,1,1970
14 0108 LL0714,1,102600,117000,7/6/2020,1,2006
14 009700080452,1,190000,10,7/6/2020,1,1920
14 005700020456,1,63900,15653,7/6/2020,1,1920
14 007800142560,1,125900,101000,7/6/2020,1,1962
14 001900102129,1,293500,331500,7/6/2020,1,1925
14 001800102393,1,251700,276000,7/6/2020,1,2001
17 0006 LL3037,1,155000,135000,7/2/2020,1,1988
17 0102 LL2149,1,0,707746,7/2/2020,1,2019
14 007900134186,1,258100,10,7/2/2020,1,2007
17 0034 LL2670,1,337800,410000,7/2/2020,2,2018
17 009500130369,1,130700,135000,7/2/2020,1,1987
14 0045 LL0728,1,306200,317000,7/2/2020,1,2006
17 0148 LL6997,1,184700,188000,7/2/2020,1,2007
17 010600311875,1,249300,253638,7/2/2020,1,1996
17 0016 LL2268,1,292500,290000,7/2/2020,1,2004
17 0035 LL1325,1,124200,135000,7/2/2020,1,1989
17 010600084506,1,253700,259000,7/2/2020,1,2003
14 001200091527,1,283400,272000,7/2/2020,1,2002
14 008400101436,1,288100,297500,7/2/2020,1,1925
17 010900040059,1,893900,895000,7/2/2020,1,1935
14 004800350129,1,149000,161000,7/1/2020,1,1940
14 001800090374,1,264800,279000,7/1/2020,1,2004
14 001400101159,1,241800,259900,7/1/2020,1,2006
17 000600012706,1,142700,155000,7/1/2020,1,1994
14 0045 LL1247,1,288100,292000,7/1/2020,1,2006
14 015100090256,2,91200,0,8/5/2020,2,1983
14 016300110167,2,18000,115000,8/5/2020,1,1930
12 145001820479,2,307900,335000,8/3/2020,2,2001
14 017000010715,2,124100,425000,8/3/2020,1,1948
14 015100010213,2,94900,10,8/3/2020,1,1945
12 200104250841,2,179900,750000,8/3/2020,1,1960
12 200104250841,2,179900,0,8/3/2020,1,1960
14 013800050134,2,88200,330750,7/31/2020,1,1948
14 017500030395,2,80600,180000,7/31/2020,1,1950
12 154002493492,2,299200,338000,7/30/2020,2,2006
22 512011212345,2,212700,242000,7/30/2020,2,2001
14 023700040366,2,80700,0,7/30/2020,1,1930
14 013800060034,2,314700,351000,7/30/2020,1,1947
14 013800050415,2,66600,325000,7/30/2020,1,1948
14 013200040362,2,160400,189900,7/30/2020,1,1949
14 001000030212,2,296800,340000,7/30/2020,1,1925
12 189704100037,2,234600,0,7/30/2020,2,1987
14 005700200157,2,105900,0,7/29/2020,1,1920
17 010800011358,2,348400,0,7/29/2020,2,2003
17 000200140113,2,425800,542000,7/29/2020,2,1984
14 009100030495,2,87500,115000,7/29/2020,1,1953
13 009200040040,2,76900,85000,7/28/2020,1,1954
17 0034 LL2480,2,277400,0,7/28/2020,2,2017
17 000800160610,2,239500,247000,7/28/2020,2,1985
14 025100050093,2,73800,160000,7/28/2020,1,1973
14 019000040288,2,89400,133000,7/28/2020,1,1948
14 013400020420,2,152100,148900,7/28/2020,1,1944
14 007900131497,2,332300,302000,7/28/2020,2,2007
14 005800030165,2,109000,245500,7/28/2020,1,1920
14 004900016331,2,298700,298700,7/28/2020,1,2005
14 001200092186,2,326400,370000,7/28/2020,2,2004
12 148301950343,2,385300,315000,7/27/2020,2,1990
17 018400061178,2,199000,240000,7/27/2020,2,1968
17 011100020578,2,265000,0,7/27/2020,1,1948
17 010600270238,2,250800,10,7/27/2020,2,1984
17 005400041250,2,210700,210700,7/27/2020,1,1950
17 000500020999,2,133000,153000,7/27/2020,1,1947
14 020700040487,2,74200,74200,7/27/2020,1,1958
14 020100060333,2,173800,70000,7/27/2020,2,1956
14 018600020138,2,83500,50000,7/27/2020,2,1955
14 015200120391,2,133100,112000,7/27/2020,1,1950
14 013700080371,2,77000,86000,7/27/2020,1,1945
14 013700080371,2,77000,75000,7/27/2020,1,1945
14 013200090110,2,134800,435900,7/27/2020,1,1940
14 009300031608,2,78200,0,7/27/2020,1,1960
14 009300010305,2,79000,182500,7/27/2020,1,1955
14 004800051677,2,167100,172000,7/27/2020,1,1965
14 004400020700,2,442800,542500,7/27/2020,2,1920
13 0031 LL2458,2,119100,113000,7/27/2020,2,2006
12 203104200253,2,131000,150000,7/24/2020,2,1980
22 511010401057,2,303400,339500,7/24/2020,2,2003
22 509009050166,2,273100,1,7/24/2020,1,1965
22 387612820204,2,302900,0,7/24/2020,2,2000
17 0252 LL0380,2,277700,284000,7/24/2020,2,2016
17 0221 LL4042,2,255500,250000,7/24/2020,2,2007
17 0221 LL3549,2,262100,245000,7/24/2020,3,2005
17 018600090076,2,274800,10,7/24/2020,2,1982
17 010900181226,2,542400,0,7/24/2020,2,2000
17 010800017561,2,345000,338000,7/24/2020,1,2009
17 010100160343,2,460000,640000,7/24/2020,2,1940
17 010100140105,2,648100,1170000,7/24/2020,1,1924
17 010100131682,2,181700,219000,7/24/2020,2,1967
17 0092 LL0855,2,149300,144000,7/24/2020,1,1976
17 0074 LL2556,2,176700,197900,7/24/2020,1,1968
17 002300021946,2,151700,145000,7/24/2020,2,1984
17 000100080328,2,500000,807000,7/24/2020,1,1918
14 017400110404,2,79200,87000,7/24/2020,1,1949
14 016300130199,2,78600,219000,7/24/2020,1,1950
14 015800060484,2,131500,179900,7/24/2020,1,1930
14 014300050178,2,84300,278000,7/24/2020,1,1930
14 014100020413,2,93400,267000,7/24/2020,1,1950
14 013700011475,2,84200,230825,7/24/2020,1,1950
14 012100031265,2,114400,185700,7/24/2020,1,1924
14 010200090314,2,135400,149900,7/24/2020,1,1955
14 008400101543,2,383800,335000,7/24/2020,1,1905
14 004900050900,2,460000,580000,7/24/2020,2,1999
14 003900050373,2,108700,145000,7/24/2020,1,1960
14 002300031892,2,281100,264000,7/24/2020,2,2005
14 001900010264,2,288800,371000,7/23/2020,1,1940
17 011100110049,2,245500,262000,7/23/2020,1,1975
17 009100011613,2,98000,100000,7/23/2020,1,1980
17 003800010355,2,203000,220000,7/23/2020,2,2000
17 000700071230,2,247400,240000,7/23/2020,2,1988
14 024200031145,2,86100,80000,7/23/2020,1,1961
14 020800100512,2,75000,113500,7/23/2020,1,1950
