bedrooms,RegionID,SizeRank,RegionName,RegionType,State,City,CountyName,date,median,lat,lon
2,70791,302,30004,Zip,GA,Milton,Fulton County,1/31/2010,147891,34.119177,-84.30292
3,70791,302,30004,Zip,GA,Milton,Fulton County,1/31/2010,205485,34.119177,-84.30292
4,70791,302,30004,Zip,GA,Milton,Fulton County,1/31/2010,347022,34.119177,-84.30292
5,70791,302,30004,Zip,GA,Milton,Fulton County,1/31/2010,557859,34.119177,-84.30292
2,70792,2978,30005,Zip,GA,Alpharetta,Fulton County,1/31/2010,144343,34.080035,-84.21929
3,70792,2978,30005,Zip,GA,Alpharetta,Fulton County,1/31/2010,239814,34.080035,-84.21929
4,70792,2978,30005,Zip,GA,Alpharetta,Fulton County,1/31/2010,320763,34.080035,-84.21929
5,70792,2978,30005,Zip,GA,Alpharetta,Fulton County,1/31/2010,419598,34.080035,-84.21929
2,70796,5968,30009,Zip,GA,Alpharetta,Fulton County,1/31/2010,147696,33.844371,-84.47405
3,70796,5968,30009,Zip,GA,Alpharetta,Fulton County,1/31/2010,243844,33.844371,-84.47405
4,70796,5968,30009,Zip,GA,Alpharetta,Fulton County,1/31/2010,330533,33.844371,-84.47405
5,70796,5968,30009,Zip,GA,Alpharetta,Fulton County,1/31/2010,543216,33.844371,-84.47405
1,70808,301,30022,Zip,GA,Johns Creek,Fulton County,1/31/2010,132172,34.026238,-84.24506
2,70808,301,30022,Zip,GA,Johns Creek,Fulton County,1/31/2010,156080,34.026238,-84.24506
3,70808,301,30022,Zip,GA,Johns Creek,Fulton County,1/31/2010,206507,34.026238,-84.24506
4,70808,301,30022,Zip,GA,Johns Creek,Fulton County,1/31/2010,318232,34.026238,-84.24506
5,70808,301,30022,Zip,GA,Johns Creek,Fulton County,1/31/2010,506647,34.026238,-84.24506
1,70854,602,30075,Zip,GA,Roswell,Fulton County,1/31/2010,129174,34.049789,-84.38539
2,70854,602,30075,Zip,GA,Roswell,Fulton County,1/31/2010,181148,34.049789,-84.38539
3,70854,602,30075,Zip,GA,Roswell,Fulton County,1/31/2010,247050,34.049789,-84.38539
4,70854,602,30075,Zip,GA,Roswell,Fulton County,1/31/2010,324786,34.049789,-84.38539
5,70854,602,30075,Zip,GA,Roswell,Fulton County,1/31/2010,472600,34.049789,-84.38539
2,70855,1284,30076,Zip,GA,Roswell,Fulton County,1/31/2010,134768,34.032532,-84.31774
3,70855,1284,30076,Zip,GA,Roswell,Fulton County,1/31/2010,219309,34.032532,-84.31774
4,70855,1284,30076,Zip,GA,Roswell,Fulton County,1/31/2010,301139,34.032532,-84.31774
5,70855,1284,30076,Zip,GA,Roswell,Fulton County,1/31/2010,435845,34.032532,-84.31774
2,70959,1912,30213,Zip,GA,Fairburn,Fulton County,1/31/2010,77639,33.565662,-84.59321
3,70959,1912,30213,Zip,GA,Fairburn,Fulton County,1/31/2010,106059,33.565662,-84.59321
4,70959,1912,30213,Zip,GA,Fairburn,Fulton County,1/31/2010,146717,33.565662,-84.59321
5,70959,1912,30213,Zip,GA,Fairburn,Fulton County,1/31/2010,216899,33.565662,-84.59321
2,70995,9177,30268,Zip,GA,Palmetto,Fulton County,1/31/2010,72540,33.527793,-84.69453
3,70995,9177,30268,Zip,GA,Palmetto,Fulton County,1/31/2010,102383,33.527793,-84.69453
4,70995,9177,30268,Zip,GA,Palmetto,Fulton County,1/31/2010,178699,33.527793,-84.69453
5,70995,9177,30268,Zip,GA,Palmetto,Fulton County,1/31/2010,248076,33.527793,-84.69453
3,71013,5112,30291,Zip,GA,Union City,Fulton County,1/31/2010,82045,33.580878,-84.54611
4,71013,5112,30291,Zip,GA,Union City,Fulton County,1/31/2010,115492,33.580878,-84.54611
5,71013,5112,30291,Zip,GA,Union City,Fulton County,1/31/2010,141532,33.580878,-84.54611
2,71023,16830,30303,Zip,GA,Atlanta,Fulton County,1/31/2010,195349,33.752856,-84.39013
3,71023,16830,30303,Zip,GA,Atlanta,Fulton County,1/31/2010,206183,33.752856,-84.39013
1,71025,1929,30305,Zip,GA,Atlanta,Fulton County,1/31/2010,144949,33.830054,-84.38472
2,71025,1929,30305,Zip,GA,Atlanta,Fulton County,1/31/2010,249698,33.830054,-84.38472
3,71025,1929,30305,Zip,GA,Atlanta,Fulton County,1/31/2010,520593,33.830054,-84.38472
4,71025,1929,30305,Zip,GA,Atlanta,Fulton County,1/31/2010,814433,33.830054,-84.38472
5,71025,1929,30305,Zip,GA,Atlanta,Fulton County,1/31/2010,1132894,33.830054,-84.38472
1,71026,3579,30306,Zip,GA,Atlanta,Fulton County,1/31/2010,157256,33.786755,-84.35149
2,71026,3579,30306,Zip,GA,Atlanta,Fulton County,1/31/2010,273333,33.786755,-84.35149
